# MEAN_SAMPLE_SIZE = 112238
# TOTAL_GENES = 19235
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
SET                        NGENES       BETA   BETA_STD         SE            P FULL_NAME
Curated_gene_sets:kegg...      25     -0.139   -0.00501      0.201      0.75581 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_heparan_sulfate
Curated_gene_sets:kegg...      44    -0.0343   -0.00164       0.15      0.59055 Curated_gene_sets:kegg_glycerolipid_metabolism
Curated_gene_sets:kegg...      53      0.199     0.0104      0.125     0.056258 Curated_gene_sets:kegg_inositol_phosphate_metabolism
Curated_gene_sets:kegg...      24     -0.234   -0.00826      0.178      0.90559 Curated_gene_sets:kegg_glycosylphosphatidylinositol_gpi_anchor_biosynthesis
Curated_gene_sets:kegg...      74     0.0257    0.00159      0.112      0.40964 Curated_gene_sets:kegg_glycerophospholipid_metabolism
Curated_gene_sets:kegg...      33     0.0827    0.00342      0.169      0.31197 Curated_gene_sets:kegg_ether_lipid_metabolism
Curated_gene_sets:kegg...      58     0.0326    0.00179      0.136      0.40498 Curated_gene_sets:kegg_arachidonic_acid_metabolism
Curated_gene_sets:kegg...      29      0.104    0.00404      0.198      0.29911 Curated_gene_sets:kegg_linoleic_acid_metabolism
Curated_gene_sets:kegg...      19      0.211    0.00664      0.227      0.17551 Curated_gene_sets:kegg_alpha_linolenic_acid_metabolism
Curated_gene_sets:kegg...      37     -0.246    -0.0108      0.159      0.93831 Curated_gene_sets:kegg_sphingolipid_metabolism
Curated_gene_sets:kegg...      25       0.15     0.0054       0.19      0.21581 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series
Curated_gene_sets:kegg...      13     0.0121   0.000315      0.274      0.48237 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_globo_series
Curated_gene_sets:kegg...      15     -0.146   -0.00407      0.265        0.709 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_ganglio_series
Curated_gene_sets:kegg...      39     -0.246    -0.0111      0.172      0.92334 Curated_gene_sets:kegg_pyruvate_metabolism
Curated_gene_sets:kegg...      16      0.118    0.00339      0.253      0.32059 Curated_gene_sets:kegg_glyoxylate_and_dicarboxylate_metabolism
Curated_gene_sets:kegg...      32    -0.0233   -0.00095      0.173      0.55369 Curated_gene_sets:kegg_propanoate_metabolism
Curated_gene_sets:kegg...      33     -0.124   -0.00514      0.161      0.77984 Curated_gene_sets:kegg_butanoate_metabolism
Curated_gene_sets:kegg...      17    -0.0956   -0.00284      0.221      0.66717 Curated_gene_sets:kegg_one_carbon_pool_by_folate
Curated_gene_sets:kegg...      15      0.469     0.0131      0.269     0.040469 Curated_gene_sets:kegg_riboflavin_metabolism
Curated_gene_sets:kegg...      24      0.121    0.00428      0.199      0.27103 Curated_gene_sets:kegg_nicotinate_and_nicotinamide_metabolism
Curated_gene_sets:kegg...      16   -0.00418  -0.000121      0.235       0.5071 Curated_gene_sets:kegg_pantothenate_and_coa_biosynthesis
Curated_gene_sets:kegg...      11    -0.0279  -0.000668      0.353      0.53156 Curated_gene_sets:kegg_folate_biosynthesis
Curated_gene_sets:kegg...      62    -0.0612   -0.00347       0.16      0.64862 Curated_gene_sets:kegg_retinol_metabolism
Curated_gene_sets:kegg...      40     0.0681     0.0031       0.21      0.37279 Curated_gene_sets:kegg_porphyrin_and_chlorophyll_metabolism
Curated_gene_sets:kegg...      15      0.173    0.00482      0.273      0.26347 Curated_gene_sets:kegg_terpenoid_backbone_biosynthesis
Curated_gene_sets:kegg...      10     0.0581    0.00132       0.26      0.41153 Curated_gene_sets:kegg_limonene_and_pinene_degradation
Curated_gene_sets:kegg...      21    -0.0976   -0.00322      0.194      0.69287 Curated_gene_sets:kegg_nitrogen_metabolism
Curated_gene_sets:kegg...      13     -0.306   -0.00795       0.27      0.87145 Curated_gene_sets:kegg_sulfur_metabolism
Curated_gene_sets:kegg...      39      0.137    0.00617       0.14      0.16383 Curated_gene_sets:kegg_aminoacyl_trna_biosynthesis
Curated_gene_sets:kegg...      70    -0.0808   -0.00487      0.151      0.70423 Curated_gene_sets:kegg_metabolism_of_xenobiotics_by_cytochrome_p450
Curated_gene_sets:kegg...      70     -0.103   -0.00618      0.149      0.75423 Curated_gene_sets:kegg_drug_metabolism_cytochrome_p450
Curated_gene_sets:kegg...      51     -0.132    -0.0068      0.163      0.79168 Curated_gene_sets:kegg_drug_metabolism_other_enzymes
Curated_gene_sets:kegg...      22    0.00588   0.000199      0.201      0.48834 Curated_gene_sets:kegg_biosynthesis_of_unsaturated_fatty_acids
Curated_gene_sets:kegg...      40      0.341     0.0155      0.163     0.018122 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg...      82     -0.168    -0.0109      0.103      0.94866 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg...      55       0.13    0.00693      0.122      0.14442 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg...      29      0.248     0.0096      0.143     0.042178 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg...      30    -0.0101  -0.000399      0.179      0.52256 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg...      34     0.0665    0.00279      0.154       0.3327 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg...     116     0.0461    0.00357     0.0803      0.28286 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg...      45      0.102    0.00495      0.139      0.23046 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg...      23    -0.0257  -0.000888      0.191      0.55349 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg...      67      -0.04   -0.00236      0.114      0.63696 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg...      32     0.0107   0.000437       0.15      0.47143 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg...      40    -0.0665   -0.00303      0.144      0.67728 Curated_gene_sets:kegg_nucleotide_excision_repair
Curated_gene_sets:kegg...      22     -0.148     -0.005      0.212      0.75701 Curated_gene_sets:kegg_mismatch_repair
Curated_gene_sets:kegg...      28    0.00225   8.56e-05      0.177      0.49495 Curated_gene_sets:kegg_homologous_recombination
Curated_gene_sets:kegg...      13      -0.19   -0.00495      0.257      0.77085 Curated_gene_sets:kegg_non_homologous_end_joining
Curated_gene_sets:kegg...     252     0.0944     0.0107     0.0609     0.060678 Curated_gene_sets:kegg_mapk_signaling_pathway
Curated_gene_sets:kegg...      86      0.184     0.0123      0.112     0.050126 Curated_gene_sets:kegg_erbb_signaling_pathway
Curated_gene_sets:kegg...     168      0.154     0.0143      0.077     0.022775 Curated_gene_sets:kegg_calcium_signaling_pathway
Curated_gene_sets:kegg...     252     0.0577    0.00656     0.0667      0.19359 Curated_gene_sets:kegg_cytokine_cytokine_receptor_interaction
Curated_gene_sets:kegg...     186      0.119     0.0116     0.0743     0.055025 Curated_gene_sets:kegg_chemokine_signaling_pathway
Curated_gene_sets:kegg...      76      0.193     0.0121      0.112     0.041877 Curated_gene_sets:kegg_phosphatidylinositol_signaling_system
Curated_gene_sets:kegg...     254     0.0175      0.002     0.0656      0.39471 Curated_gene_sets:kegg_neuroactive_ligand_receptor_interaction
Curated_gene_sets:kegg...     122      0.174     0.0138     0.0857     0.021409 Curated_gene_sets:kegg_cell_cycle
Curated_gene_sets:kegg...     107      0.291     0.0217     0.0941   0.00098844 Curated_gene_sets:kegg_oocyte_meiosis
Curated_gene_sets:kegg...      67      0.084    0.00495      0.119      0.24032 Curated_gene_sets:kegg_p53_signaling_pathway
Curated_gene_sets:kegg...     126      0.249     0.0201     0.0819    0.0011811 Curated_gene_sets:kegg_ubiquitin_mediated_proteolysis
Curated_gene_sets:kegg...      36     0.0246    0.00106      0.153      0.43619 Curated_gene_sets:kegg_snare_interactions_in_vesicular_transport
Curated_gene_sets:kegg...      33     0.0228   0.000943      0.206      0.45593 Curated_gene_sets:kegg_regulation_of_autophagy
Curated_gene_sets:kegg...     115    0.00233   0.000179     0.0868       0.4893 Curated_gene_sets:kegg_lysosome
Curated_gene_sets:kegg...     169     0.0947    0.00884     0.0743      0.10107 Curated_gene_sets:kegg_endocytosis
Curated_gene_sets:kegg...      76      0.067     0.0042      0.104      0.25909 Curated_gene_sets:kegg_peroxisome
Curated_gene_sets:kegg...      50      0.266     0.0135       0.14     0.029179 Curated_gene_sets:kegg_mtor_signaling_pathway
Curated_gene_sets:kegg...      80      0.353     0.0227       0.11   0.00068804 Curated_gene_sets:kegg_apoptosis
Curated_gene_sets:kegg...      69    0.00657   0.000393      0.113      0.47689 Curated_gene_sets:kegg_cardiac_muscle_contraction
Curated_gene_sets:kegg...     112      0.295     0.0225     0.0954   0.00098065 Curated_gene_sets:kegg_vascular_smooth_muscle_contraction
Curated_gene_sets:kegg...     145      0.136     0.0117     0.0814     0.047526 Curated_gene_sets:kegg_wnt_signaling_pathway
Curated_gene_sets:kegg...      23     -0.258   -0.00893      0.209      0.89147 Curated_gene_sets:kegg_dorso_ventral_axis_formation
Curated_gene_sets:kegg...      46    0.00743   0.000363      0.138      0.47855 Curated_gene_sets:kegg_notch_signaling_pathway
Curated_gene_sets:kegg...      55      0.459     0.0245      0.137   0.00040473 Curated_gene_sets:kegg_hedgehog_signaling_pathway
Curated_gene_sets:kegg...      85     0.0474    0.00315      0.108      0.33058 Curated_gene_sets:kegg_tgf_beta_signaling_pathway
Curated_gene_sets:kegg...     124      0.166     0.0133     0.0908     0.033526 Curated_gene_sets:kegg_axon_guidance
Curated_gene_sets:kegg...      77      0.322     0.0203      0.114    0.0022879 Curated_gene_sets:kegg_vegf_signaling_pathway
Curated_gene_sets:kegg...     192       0.19     0.0189     0.0735    0.0048379 Curated_gene_sets:kegg_focal_adhesion
Curated_gene_sets:kegg...      82     0.0749    0.00488      0.113        0.253 Curated_gene_sets:kegg_ecm_receptor_interaction
Curated_gene_sets:kegg...     106    -0.0166   -0.00123     0.0993      0.56628 Curated_gene_sets:kegg_cell_adhesion_molecules_cams
Curated_gene_sets:kegg...      70      0.187     0.0113      0.122     0.062168 Curated_gene_sets:kegg_adherens_junction
Curated_gene_sets:kegg...     128      0.107    0.00869      0.088      0.11213 Curated_gene_sets:kegg_tight_junction
Curated_gene_sets:kegg...      87      0.319     0.0214      0.108     0.001613 Curated_gene_sets:kegg_gap_junction
Curated_gene_sets:kegg...      63     -0.171   -0.00975       0.13      0.90553 Curated_gene_sets:kegg_complement_and_coagulation_cascades
Curated_gene_sets:kegg...      57      0.201     0.0109      0.142     0.078193 Curated_gene_sets:kegg_antigen_processing_and_presentation
Curated_gene_sets:kegg...      16      0.605     0.0175      0.271     0.012766 Curated_gene_sets:kegg_renin_angiotensin_system
Curated_gene_sets:kegg...     100      0.108    0.00778      0.107      0.15506 Curated_gene_sets:kegg_toll_like_receptor_signaling_pathway
Curated_gene_sets:kegg...      58    -0.0499   -0.00273      0.125       0.6548 Curated_gene_sets:kegg_nod_like_receptor_signaling_pathway
Curated_gene_sets:kegg...      66     0.0741    0.00433      0.131      0.28611 Curated_gene_sets:kegg_rig_i_like_receptor_signaling_pathway
Curated_gene_sets:kegg...      55      0.152    0.00809      0.128      0.11768 Curated_gene_sets:kegg_cytosolic_dna_sensing_pathway
Curated_gene_sets:kegg...     149      0.197     0.0173     0.0843    0.0095956 Curated_gene_sets:kegg_jak_stat_signaling_pathway
Curated_gene_sets:kegg...      79      0.107    0.00681      0.111      0.16839 Curated_gene_sets:kegg_hematopoietic_cell_lineage
Curated_gene_sets:kegg...     123      0.134     0.0107     0.0939     0.076723 Curated_gene_sets:kegg_natural_killer_cell_mediated_cytotoxicity
Curated_gene_sets:kegg...     104       0.25     0.0183     0.0975    0.0052209 Curated_gene_sets:kegg_t_cell_receptor_signaling_pathway
Curated_gene_sets:kegg...      74      0.238     0.0147       0.11     0.014933 Curated_gene_sets:kegg_b_cell_receptor_signaling_pathway
Curated_gene_sets:kegg...      78       0.32     0.0203      0.115    0.0026724 Curated_gene_sets:kegg_fc_epsilon_ri_signaling_pathway
Curated_gene_sets:kegg...      95      0.359     0.0251     0.0993   0.00015235 Curated_gene_sets:kegg_fc_gamma_r_mediated_phagocytosis
Curated_gene_sets:kegg...     110     0.0984    0.00742     0.0936      0.14659 Curated_gene_sets:kegg_leukocyte_transendothelial_migration
Curated_gene_sets:kegg...      32     -0.163   -0.00664      0.177      0.82081 Curated_gene_sets:kegg_intestinal_immune_network_for_iga_production
Curated_gene_sets:kegg...      13     -0.252   -0.00655      0.304      0.79625 Curated_gene_sets:kegg_circadian_rhythm_mammal
Curated_gene_sets:kegg...      66      0.197     0.0115       0.12     0.050811 Curated_gene_sets:kegg_long_term_potentiation
Curated_gene_sets:kegg...     121      0.233     0.0184      0.088    0.0040686 Curated_gene_sets:kegg_neurotrophin_signaling_pathway
Curated_gene_sets:kegg...      68      0.304      0.018      0.122     0.006345 Curated_gene_sets:kegg_long_term_depression
Curated_gene_sets:kegg...     381    -0.0951    -0.0132     0.0725      0.90527 Curated_gene_sets:kegg_olfactory_transduction
Curated_gene_sets:kegg...      50     0.0822    0.00419      0.158      0.30118 Curated_gene_sets:kegg_taste_transduction
Curated_gene_sets:kegg...     202      0.151     0.0154     0.0684     0.013732 Curated_gene_sets:kegg_regulation_of_actin_cytoskeleton
Curated_gene_sets:kegg...     131      0.115    0.00947     0.0863     0.090958 Curated_gene_sets:kegg_insulin_signaling_pathway
Curated_gene_sets:kegg...      98      0.273     0.0194      0.101    0.0033939 Curated_gene_sets:kegg_gnrh_signaling_pathway
Curated_gene_sets:kegg...      81      0.388     0.0251      0.109   0.00018188 Curated_gene_sets:kegg_progesterone_mediated_oocyte_maturation
Curated_gene_sets:kegg...     100      0.291     0.0209      0.099    0.0016566 Curated_gene_sets:kegg_melanogenesis
Curated_gene_sets:kegg...      63      0.256     0.0146      0.115     0.012898 Curated_gene_sets:kegg_adipocytokine_signaling_pathway
Curated_gene_sets:kegg...      46      0.454     0.0222      0.152     0.001417 Curated_gene_sets:kegg_type_ii_diabetes_mellitus
Curated_gene_sets:kegg...      21      -0.13   -0.00428      0.227      0.71607 Curated_gene_sets:kegg_type_i_diabetes_mellitus
Curated_gene_sets:kegg...      25      0.819     0.0295       0.21   4.7354e-05 Curated_gene_sets:kegg_maturity_onset_diabetes_of_the_young
Curated_gene_sets:kegg...      41      0.274     0.0127      0.156     0.039785 Curated_gene_sets:kegg_aldosterone_regulated_sodium_reabsorption
Curated_gene_sets:kegg...      42     0.0991    0.00463      0.142      0.24285 Curated_gene_sets:kegg_vasopressin_regulated_water_reabsorption
Curated_gene_sets:kegg...      22     0.0471    0.00159      0.206      0.40959 Curated_gene_sets:kegg_proximal_tubule_bicarbonate_reclamation
Curated_gene_sets:kegg...     155     0.0622    0.00556     0.0763      0.20737 Curated_gene_sets:kegg_alzheimers_disease
Curated_gene_sets:kegg...     111    0.00317    0.00024      0.087      0.48547 Curated_gene_sets:kegg_parkinsons_disease
Curated_gene_sets:kegg...      51      0.129    0.00661      0.132      0.16551 Curated_gene_sets:kegg_amyotrophic_lateral_sclerosis_als
Curated_gene_sets:kegg...     172    0.00751   0.000707     0.0689      0.45661 Curated_gene_sets:kegg_huntingtons_disease
Curated_gene_sets:kegg...      32     0.0823    0.00335      0.192      0.33384 Curated_gene_sets:kegg_prion_diseases
Curated_gene_sets:kegg...      51      0.311      0.016      0.139     0.012393 Curated_gene_sets:kegg_vibrio_cholerae_infection
Curated_gene_sets:kegg...      64      0.225      0.013      0.121      0.03111 Curated_gene_sets:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection
Curated_gene_sets:kegg...      54    -0.0825   -0.00436      0.126      0.74343 Curated_gene_sets:kegg_pathogenic_escherichia_coli_infection
Curated_gene_sets:kegg...      54      0.185    0.00977      0.128     0.074111 Curated_gene_sets:kegg_leishmania_infection
Curated_gene_sets:kegg...     318      0.253     0.0322     0.0565   3.8354e-06 Curated_gene_sets:kegg_pathways_in_cancer
Curated_gene_sets:kegg...      62      0.299     0.0169      0.134      0.01296 Curated_gene_sets:kegg_colorectal_cancer
Curated_gene_sets:kegg...      68      0.385     0.0228      0.119   0.00063684 Curated_gene_sets:kegg_renal_cell_carcinoma
Curated_gene_sets:kegg...      67      0.281     0.0166      0.125      0.01224 Curated_gene_sets:kegg_pancreatic_cancer
Curated_gene_sets:kegg...      51      0.359     0.0185      0.143    0.0061331 Curated_gene_sets:kegg_endometrial_cancer
Curated_gene_sets:kegg...      65      0.437     0.0254      0.126   0.00026612 Curated_gene_sets:kegg_glioma
Curated_gene_sets:kegg...      86        0.4     0.0267      0.106   8.2352e-05 Curated_gene_sets:kegg_prostate_cancer
Curated_gene_sets:kegg...      29       0.22    0.00853      0.196      0.13097 Curated_gene_sets:kegg_thyroid_cancer
Curated_gene_sets:kegg...      55      0.417     0.0223      0.132   0.00082362 Curated_gene_sets:kegg_basal_cell_carcinoma
Curated_gene_sets:kegg...      69      0.469      0.028      0.121   5.3397e-05 Curated_gene_sets:kegg_melanoma
Curated_gene_sets:kegg...      40      0.139    0.00631      0.158      0.19077 Curated_gene_sets:kegg_bladder_cancer
Curated_gene_sets:kegg...      72       0.35     0.0214      0.118    0.0015359 Curated_gene_sets:kegg_chronic_myeloid_leukemia
Curated_gene_sets:kegg...      55      0.428     0.0229      0.141    0.0011899 Curated_gene_sets:kegg_acute_myeloid_leukemia
Curated_gene_sets:kegg...      83      0.317     0.0208      0.109    0.0019054 Curated_gene_sets:kegg_small_cell_lung_cancer
Curated_gene_sets:kegg...      54      0.426     0.0226      0.136   0.00087868 Curated_gene_sets:kegg_non_small_cell_lung_cancer
Curated_gene_sets:kegg...      14     0.0391    0.00106      0.249      0.43764 Curated_gene_sets:kegg_asthma
Curated_gene_sets:kegg...      31      0.131    0.00527      0.212      0.26746 Curated_gene_sets:kegg_autoimmune_thyroid_disease
Curated_gene_sets:kegg...     110     0.0778    0.00587      0.123      0.26333 Curated_gene_sets:kegg_systemic_lupus_erythematosus
Curated_gene_sets:kegg...      15    -0.0492   -0.00137      0.259      0.57523 Curated_gene_sets:kegg_allograft_rejection
Curated_gene_sets:kegg...      18    -0.0346   -0.00106      0.246      0.55595 Curated_gene_sets:kegg_graft_versus_host_disease
Curated_gene_sets:kegg...      29     0.0434    0.00168      0.163      0.39496 Curated_gene_sets:kegg_primary_immunodeficiency
Curated_gene_sets:kegg...      81      0.173     0.0112      0.112     0.060338 Curated_gene_sets:kegg_hypertrophic_cardiomyopathy_hcm
Curated_gene_sets:kegg...      71      0.145    0.00877      0.123      0.11925 Curated_gene_sets:kegg_arrhythmogenic_right_ventricular_cardiomyopathy_arvc
Curated_gene_sets:kegg...      86      0.305     0.0204      0.109    0.0025182 Curated_gene_sets:kegg_dilated_cardiomyopathy
Curated_gene_sets:kegg...      48      0.258     0.0129      0.143     0.035343 Curated_gene_sets:kegg_viral_myocarditis
Curated_gene_sets:bioc...      14      0.209    0.00563      0.259      0.21035 Curated_gene_sets:biocarta_rela_pathway
Curated_gene_sets:bioc...      30      0.547     0.0216      0.168   0.00056854 Curated_gene_sets:biocarta_no1_pathway
Curated_gene_sets:bioc...      20      0.361     0.0116      0.211     0.043594 Curated_gene_sets:biocarta_csk_pathway
Curated_gene_sets:bioc...      11     0.0864    0.00206      0.298      0.38603 Curated_gene_sets:biocarta_srcrptp_pathway
Curated_gene_sets:bioc...      18     -0.316   -0.00965      0.261      0.88666 Curated_gene_sets:biocarta_ami_pathway
Curated_gene_sets:bioc...      12    -0.0131  -0.000328      0.274      0.51915 Curated_gene_sets:biocarta_granulocytes_pathway
Curated_gene_sets:bioc...      10     0.0899    0.00205       0.31      0.38574 Curated_gene_sets:biocarta_lym_pathway
Curated_gene_sets:bioc...      17     0.0619    0.00184      0.206      0.38212 Curated_gene_sets:biocarta_arap_pathway
Curated_gene_sets:bioc...      34     0.0446    0.00187       0.17      0.39648 Curated_gene_sets:biocarta_agr_pathway
Curated_gene_sets:bioc...      12     0.0684    0.00171      0.271      0.40028 Curated_gene_sets:biocarta_akap95_pathway
Curated_gene_sets:bioc...      20      0.455     0.0147      0.199     0.011281 Curated_gene_sets:biocarta_akt_pathway
Curated_gene_sets:bioc...      37      0.051    0.00223      0.175      0.38562 Curated_gene_sets:biocarta_alk_pathway
Curated_gene_sets:bioc...      32    -0.0556   -0.00227      0.186      0.61738 Curated_gene_sets:biocarta_at1r_pathway
Curated_gene_sets:bioc...      10      0.181    0.00414      0.381      0.31689 Curated_gene_sets:biocarta_ace2_pathway
Curated_gene_sets:bioc...       9    -0.0412   -0.00089      0.328      0.54992 Curated_gene_sets:biocarta_asbcell_pathway
Curated_gene_sets:bioc...      10     0.0493    0.00112      0.303       0.4353 Curated_gene_sets:biocarta_dnafragment_pathway
Curated_gene_sets:bioc...      22    0.00226   7.64e-05      0.203      0.49555 Curated_gene_sets:biocarta_chemical_pathway
Curated_gene_sets:bioc...      22    -0.0797   -0.00269       0.23      0.63543 Curated_gene_sets:biocarta_sppa_pathway
Curated_gene_sets:bioc...      20      0.403      0.013      0.231     0.040189 Curated_gene_sets:biocarta_atm_pathway
Curated_gene_sets:bioc...      13      0.317    0.00823      0.264      0.11548 Curated_gene_sets:biocarta_agpcr_pathway
Curated_gene_sets:bioc...      15      0.316    0.00881       0.22     0.076196 Curated_gene_sets:biocarta_bcellsurvival_pathway
Curated_gene_sets:bioc...       9     0.0575    0.00124      0.303      0.42477 Curated_gene_sets:biocarta_blymphocyte_pathway
Curated_gene_sets:bioc...      32      0.231    0.00939      0.171     0.088234 Curated_gene_sets:biocarta_bcr_pathway
Curated_gene_sets:bioc...      41      0.137    0.00632      0.159      0.19362 Curated_gene_sets:biocarta_biopeptides_pathway
Curated_gene_sets:bioc...       6      0.524    0.00925      0.405     0.097856 Curated_gene_sets:biocarta_neurotransmitters_pathway
Curated_gene_sets:bioc...      15    -0.0789    -0.0022      0.263      0.61778 Curated_gene_sets:biocarta_rankl_pathway
Curated_gene_sets:bioc...      13    -0.0695   -0.00181      0.292      0.59428 Curated_gene_sets:biocarta_cacam_pathway
Curated_gene_sets:bioc...      15      0.278    0.00777      0.286      0.16537 Curated_gene_sets:biocarta_cdmac_pathway
Curated_gene_sets:bioc...      32     0.0897    0.00366       0.17      0.29924 Curated_gene_sets:biocarta_carm_er_pathway
Curated_gene_sets:bioc...      22      0.103    0.00348      0.205      0.30761 Curated_gene_sets:biocarta_caspase_pathway
Curated_gene_sets:bioc...      12     -0.241   -0.00602      0.302      0.78746 Curated_gene_sets:biocarta_cbl_pathway
