# ALPHA = 0.05
# TOT_SETS = 10651


# _SET1_ SET = Curated_gene_sets:kegg_pathways_in_cancer
# _SET1_ NGENES = 318
# _SET1_ P = 3.83538e-06
_SET1_     GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET1_     ENSG00000138798     4  110829040  110938422    410      48  116368      0.52183       0.3009
_SET1_     ENSG00000138685     4  123742863  123824391    447      71  117509       1.7963     0.036223
_SET1_     ENSG00000164161     4  145562173  145671423    317      37  115749       7.5984   1.4986e-14
_SET1_     ENSG00000150630     4  177599689  177718881    614      41  107328       1.3581     0.087219
_SET1_     ENSG00000164305     4  185543850  185575663    151      36  108595      0.18826      0.42534
_SET1_     ENSG00000145604     5   36147091   36189421    178      42  120331       5.5725   1.2558e-08
_SET1_     ENSG00000070193     5   44298646   44394808    360      40  108700    -0.071809      0.52862
_SET1_     ENSG00000164171     5   52280156   52395609    518      46  132053      -1.0134      0.84457
_SET1_     ENSG00000268942     5   61803070   61813309     27      14  112038      -1.6045      0.94569
_SET1_     ENSG00000145675     5   67506548   67602649    400      85  119878       5.2266   8.6332e-08
_SET1_     ENSG00000113318     5   79945467   80177279   1015      56  119335      0.70831      0.23938
_SET1_     ENSG00000134982     5  112038195  112186936    626      55  114446       1.0384      0.14954
_SET1_     ENSG00000081059     5  133445402  133492556    220      45  110168       1.1361      0.12795
_SET1_     ENSG00000061492     5  137414581  137433054     59      22  114612       1.6798     0.046503
_SET1_     ENSG00000044115     5  137941656  138275723   1365      80  102376     -0.78809      0.78468
_SET1_     ENSG00000113578     5  141966743  142082617    669     128  110968       0.7262      0.23386
_SET1_     ENSG00000182578     5  149427854  149497935    344      73  115900       1.7586     0.039321
_SET1_     ENSG00000113721     5  149488400  149540435    249      60  119004     0.012712      0.49493
_SET1_     ENSG00000156427     5  170841660  170889627    199      58  117749       2.1186     0.017062
_SET1_     ENSG00000050748     5  179655143  179724099    427      67  117712       1.6175     0.052881
_SET1_     ENSG00000112242     6   20397398   20498941    399      90  118443       3.5615   0.00018439
_SET1_     ENSG00000204231     6   33156365   33173630     10       5  111671     -0.62437      0.73381
_SET1_     ENSG00000112033     6   35305335   35400968    461      56  114515     0.094263      0.46245
_SET1_     ENSG00000124762     6   36639305   36660116    124      26  124265       1.2331      0.10877
_SET1_     ENSG00000112715     6   43732921   43759224    115      43  116584      0.18807      0.42541
_SET1_     ENSG00000096384     6   44209824   44226620     83      36  112542     -0.34007       0.6331
_SET1_     ENSG00000112769     6  112424963  112581141    732      86  110131       -1.476      0.93002
_SET1_     ENSG00000196591     6  114249192  114337472    317      56  121634      0.67748      0.24905
_SET1_     ENSG00000196569     6  129199342  129842714   2717     160  114775       -1.447      0.92605
_SET1_     ENSG00000197461     7     531895     564933    221      53   69562     -0.36679      0.64311
_SET1_     ENSG00000136238     7    6409154    6448608    254      43  117932       2.9042     0.001841
_SET1_     ENSG00000136244     7   22760503   22776621     76      31  113765      0.57542       0.2825
_SET1_     ENSG00000172115     7   25154710   25169980     61      26  104264      0.40324      0.34339
_SET1_     ENSG00000006451     7   39658082   39752723    304      48  115704      -0.6729      0.74949
_SET1_     ENSG00000106571     7   41995548   42282469   1411     164  114030       1.5151     0.064871
_SET1_     ENSG00000146648     7   55081714   55329313   1254     169  119601     -0.77416      0.78058
_SET1_     ENSG00000188763     7   72843109   72855450     35      19   98483       6.9691   1.5948e-12
_SET1_     ENSG00000019991     7   81323322   81404754    301      44  112035       1.7905     0.036684
_SET1_     ENSG00000157240     7   90888783   90903123     36      22  104438     -0.47965      0.68426
_SET1_     ENSG00000105810     7   92229235   92470908    570      99  110191       3.3291   0.00043564
_SET1_     ENSG00000105851     7  106500723  106552590    164      52  114047      0.53056      0.29786
_SET1_     ENSG00000091136     7  107559244  107648700    387      90  110983       1.3783      0.08406
_SET1_     ENSG00000091128     7  107658993  107775801    452      59  110271      0.28644      0.38727
_SET1_     ENSG00000105976     7  116307444  116443440    388      90  114295        0.946      0.17207
_SET1_     ENSG00000105989     7  116911685  116968343    196      68  116262     -0.10712      0.54265
_SET1_     ENSG00000002745     7  120960421  120986158    110      34  114177       -0.197      0.57808
_SET1_     ENSG00000128602     7  128823713  128858386    147      42  114229       2.1875     0.014353
_SET1_     ENSG00000157764     7  140414127  140629564    659      54  109687      0.86096      0.19463
_SET1_     ENSG00000164690     7  155587680  155609967     81      43  106806     -0.64624      0.74094
_SET1_     ENSG00000078579     8   16844678   16864690    122      31  128895      -0.6667      0.74752
_SET1_     ENSG00000158815     8   21894909   21911320     79      32  120610       1.2142      0.11234
_SET1_     ENSG00000167034     8   23531206   23545440     62      20  115389      0.58796      0.27828
_SET1_     ENSG00000104290     8   28346729   28436775    273      26  114240     -0.97848      0.83608
_SET1_     ENSG00000077782     8   38263656   38331352    214      75  110314       1.4693     0.070869
_SET1_     ENSG00000104365     8   42123820   42194973    257      36  107252       0.8958      0.18518
_SET1_     ENSG00000154582     8   74846404   74889522    182      42  117704     -0.77838      0.78183
_SET1_     ENSG00000079102     8   92962203   93120514    415      47  106692      0.65617      0.25586
_SET1_     ENSG00000175305     8   95886998   95913906    106      28  122887       1.6362     0.050898
_SET1_     ENSG00000164930     8  104305661  104350094    171      27  124588     -0.44266        0.671
_SET1_     ENSG00000136997     8  128742680  128758674     75      34  112509      0.70947      0.23902
_SET1_     ENSG00000169398     8  141662999  142017315   1191      53  108339     -0.93614       0.8254
_SET1_     ENSG00000147889     9   21962751   22000300    121      49  108853     -0.99865      0.84102
_SET1_     ENSG00000147883     9   21997902   22014362     59      22  114862      -0.5383      0.70482
_SET1_     ENSG00000196730     9   90107143   90328548   1323     153  117111     -0.29019      0.61416
_SET1_     ENSG00000185920     9   98200262   98284339    357      51  109478       7.9803   7.3016e-16
_SET1_     ENSG00000106799     9  101861320  101921474    190      39  119157       1.3175     0.093831
_SET1_     ENSG00000056558     9  123659671  123696451    172      32  119801       4.1024   2.0448e-05
_SET1_     ENSG00000097007     9  133584333  133768062    915      94  109683      0.64629      0.25905
_SET1_     ENSG00000050555     9  133879469  133974860    553     107  110300       1.9038     0.028471
_SET1_     ENSG00000160271     9  135968107  136044301    449      85  108845       0.4497      0.32646
_SET1_     ENSG00000186350     9  137203944  137337431    802      87  103750     -0.46638      0.67953
_SET1_     ENSG00000127191     9  139771364  139826059    303      38  104472         1.92     0.027432
_SET1_     ENSG00000150093    10   33184247   33299720    454      58  124313        1.215      0.11218
_SET1_     ENSG00000108094    10   35292479   35384570    401      35  108984     -0.75527      0.77496
_SET1_     ENSG00000177283    10   35922177   35935362     48      20  104509      -1.5368      0.93783
_SET1_     ENSG00000165731    10   43567475   43630799    300      41  124808       1.5662     0.058645
_SET1_     ENSG00000107643    10   49509698   49652403    496      53  118143     -0.59926       0.7255
_SET1_     ENSG00000138293    10   51560108   51595734    105      50   96992     0.013461      0.49463
_SET1_     ENSG00000108091    10   61543521   61671414    650      46  122223      0.29985      0.38215
_SET1_     ENSG00000183230    10   67667276   69460927   9504     318  121392    -0.063825      0.52545
_SET1_     ENSG00000171862    10   89617870   89736687    470      30   92894      0.05819       0.4768
_SET1_     ENSG00000026103    10   90745414   90780542    211      36  121081      0.83286      0.20246
_SET1_     ENSG00000213341    10  101943055  101994376    176      35  115413        -1.34      0.90988
_SET1_     ENSG00000075290    10  102217798  102248501    120      25  103601       1.3629     0.086457
_SET1_     ENSG00000107831    10  103524899  103540854     38      24   96058      -1.5831       0.9433
_SET1_     ENSG00000077150    10  104148867  104167281     69      35  106495     0.033673      0.48657
_SET1_     ENSG00000107882    10  104258744  104398292    494      39  120284       3.0901    0.0010005
_SET1_     ENSG00000148737    10  114705009  114932437    911     156  113480       1.1625      0.12251
_SET1_     ENSG00000066468    10  123232848  123362972    663     120  103608      0.45148      0.32582
_SET1_     ENSG00000175029    10  126671421  126854739   1101     150  118020     -0.15948      0.56336
_SET1_     ENSG00000174775    11     527242     542287    111      27  113056      0.63263      0.26349
_SET1_     ENSG00000175104    11   36503577   36536822    130      39  106302     -0.83024       0.7968
_SET1_     ENSG00000066336    11   47371411   47405127    150      33  117744       2.9143    0.0017824
_SET1_     ENSG00000173511    11   63997010   64011259     58      22  111871      0.11902      0.45263
_SET1_     ENSG00000002330    11   64032302   64057176     82      39  107497      0.10148      0.45958
_SET1_     ENSG00000173039    11   65416067   65435565     57      28  104916       2.1753     0.014803
_SET1_     ENSG00000084207    11   67346066   67359131     66      12  119559      0.06449      0.47429
_SET1_     ENSG00000110092    11   69450855   69474242     86      30  108822       2.3341    0.0097945
_SET1_     ENSG00000162344    11   69508000   69524410     55      29  113111      0.98242      0.16295
_SET1_     ENSG00000075388    11   69582797   69595171     57      22  116948     -0.56878      0.71525
_SET1_     ENSG00000186895    11   69619992   69638792    126      24  122096      0.61375      0.26969
_SET1_     ENSG00000168040    11   70044269   70058496     66      25  112766       1.5746     0.057673
_SET1_     ENSG00000085741    11   75892369   75926780    159      48  113029     -0.11337      0.54513
_SET1_     ENSG00000174804    11   86651721   86671433     66      20  115749     0.093333      0.46282
_SET1_     ENSG00000023445    11  102183215  102215134     98      36  102540      0.16035       0.4363
_SET1_     ENSG00000110330    11  102212942  102254401    141      33  111397       1.7898     0.036742
_SET1_     ENSG00000196611    11  102655651  102673891    114      40  125124       1.1061      0.13434
_SET1_     ENSG00000109906    11  113925315  114126398    970     178  118461     -0.14723      0.55853
_SET1_     ENSG00000110395    11  119071752  119183859    325      61  101443     -0.69729      0.75719
_SET1_     ENSG00000134954    11  128323656  128462453    526      99  115455      0.54736      0.29207
_SET1_     ENSG00000111186    12    1634057    1761409    824     182  110091       0.2394       0.4054
_SET1_     ENSG00000118972    12    4472393    4493894     74      22  116457     0.020573      0.49179
_SET1_     ENSG00000111241    12    4532321    4559780    120      26  110846       2.2047     0.013738
_SET1_     ENSG00000111276    12   12862992   12880305     70      27  112286       4.6446   1.7038e-06
_SET1_     ENSG00000133703    12   25352723   25408870    258      38  120948       1.1923      0.11657
_SET1_     ENSG00000169884    12   49354123   49370546     57      21  112105       0.9151      0.18007
_SET1_     ENSG00000125084    12   49367398   49380459     37      20  100842      0.96689       0.1668
_SET1_     ENSG00000123374    12   56355553   56371568     47      24  101296       2.8709    0.0020467
_SET1_     ENSG00000111087    12   57848918   57871045     79      23  116545     -0.45922      0.67696
_SET1_     ENSG00000135446    12   58136510   58154796     48      25  107125       1.7585     0.039335
_SET1_     ENSG00000135679    12   69196956   69244214    176      45  113702      0.49094      0.31174
_SET1_     ENSG00000049130    12   88881570   88979628    311      30  111927      -1.1686      0.87871
_SET1_     ENSG00000017427    12  102784645  102879423    283      56  116467       3.5873   0.00016707
_SET1_     ENSG00000166598    12  104318885  104352423    191      47  128399     -0.77067      0.77955
_SET1_     ENSG00000111432    12  130642004  130655285     50      21  119459      0.03432      0.48631
_SET1_     ENSG00000102678    13   22240522   22283637    171      47  101505       2.1966     0.014023
_SET1_     ENSG00000122025    13   28572411   28679729    626      40  119759      0.66565      0.25282
_SET1_     ENSG00000139618    13   32884611   32978805    379      59  114889     -0.89007      0.81329
_SET1_     ENSG00000133101    13   37000967   37022019     71      23  108837       1.6329     0.051244
_SET1_     ENSG00000150907    13   41124804   41245734    435      57  113713      0.34258      0.36596
_SET1_     ENSG00000139687    13   48872887   49061122    731      55  106768       2.7523    0.0029593
_SET1_     ENSG00000102466    13  102367134  103059124   3040     217  117708     -0.70707      0.76024
_SET1_     ENSG00000187498    13  110796318  110964496   1111     150  124924     0.079611      0.46827
_SET1_     ENSG00000134871    13  110953159  111170374   1563     169  121351      -1.0407      0.85098
_SET1_     ENSG00000129521    14   34388437   34936980   3018     300  116103      0.94159       0.1732
_SET1_     ENSG00000100906    14   35865717   35878955     68      21  121915      0.39343        0.347
_SET1_     ENSG00000100485    14   50578847   50703276    594      52  114466       1.1628      0.12246
_SET1_     ENSG00000125378    14   54411454   54430479     70      27  117709      0.59064      0.27738
_SET1_     ENSG00000100644    14   62157231   62219976    196      48  115684       1.2507      0.10553
_SET1_     ENSG00000125952    14   65467892   65574413    460      75  113152      0.46335      0.32156
_SET1_     ENSG00000119630    14   75403537   75427487    111      33  101564     -0.17023      0.56758
_SET1_     ENSG00000170345    14   75740477   75753933     64      31  123405      -1.0362      0.84995
_SET1_     ENSG00000119699    14   76419442   76454334     98      38  111615      0.88892      0.18702
_SET1_     ENSG00000080824    14  102542075  102611036    286      38  113276     -0.15946      0.56335
_SET1_     ENSG00000131323    14  103238813  103382837    583      44  117852     -0.40513      0.65731
_SET1_     ENSG00000142208    14  105230686  105267088    186      60  102065    0.0085938      0.49657
_SET1_     ENSG00000051180    15   40981972   41029354    162      33  112314       2.0181      0.02179
_SET1_     ENSG00000140285    15   49710293   49785972    318      35  123478       1.6624     0.048216
_SET1_     ENSG00000035664    15   64194235   64369232    838      71  118053      0.58011      0.28092
_SET1_     ENSG00000169032    15   66674155   66789650    498      51  120873       1.2156      0.11207
_SET1_     ENSG00000166949    15   67351101   67492533    623     120  118453       3.2925   0.00049652
_SET1_     ENSG00000033800    15   68341517   68488096    509      48  108805       1.4294     0.076442
_SET1_     ENSG00000140464    15   74282014   74345153    257      40  117374       1.1944      0.11616
_SET1_     ENSG00000172379    15   80691692   80895278    966     150  115627     -0.69806      0.75743
_SET1_     ENSG00000140443    15   99187200   99512759   1480     213  115791       4.2848   9.1464e-06
_SET1_     ENSG00000103126    16     332440     407673    603      77  107647       1.1678      0.12144
_SET1_     ENSG00000103363    16    2816415    2832298     76      29   98721        2.404    0.0081073
_SET1_     ENSG00000005339    16    3770055    3935727    589      66  102591     -0.33204      0.63007
_SET1_     ENSG00000166501    16   23842322   24236932   1935     193  115680      -0.5167      0.69732
_SET1_     ENSG00000102882    16   30120426   30139827     56      33   96373      0.80545      0.21028
_SET1_     ENSG00000087245    16   55418612   55545603    794      87  125363       2.3005     0.010711
_SET1_     ENSG00000039068    16   68766128   68874451    547      78  116076     -0.55675      0.71115
_SET1_     ENSG00000197943    16   81767702   81996899   1817     174  119547      0.65276      0.25695
_SET1_     ENSG00000167193    17    1318983    1371456    285      38  116886       2.2909     0.010986
_SET1_     ENSG00000004975    17    7123660    7142864     59      28   99673       7.4336   5.2853e-14
_SET1_     ENSG00000161958    17    7336592    7353256     66      26  109869     -0.29274      0.61514
_SET1_     ENSG00000141510    17    7560097    7595856    181      56  115913       1.2277      0.10977
_SET1_     ENSG00000141506    17    8777233    8874029    430      91  109757       2.0871     0.018438
_SET1_     ENSG00000007171    17   26078792   26132525    250      63  114766       1.2691      0.10221
_SET1_     ENSG00000076604    17   27066002   27082974     49      23  105273       1.2759      0.10099
_SET1_     ENSG00000141736    17   37839167   37891679    145      48  109289     -0.69368      0.75606
_SET1_     ENSG00000131759    17   38460444   38518094    149      42  103777       1.6831     0.046179
_SET1_     ENSG00000173801    17   39770692   39948183    941      83  109841       1.9746     0.024157
_SET1_     ENSG00000173757    17   40346186   40433725    230      65   98577     -0.39175      0.65238
_SET1_     ENSG00000126561    17   40434565   40468961    131      31  110322       -0.183       0.5726
_SET1_     ENSG00000168610    17   40460342   40545586    263      32  112679      0.71894      0.23609
_SET1_     ENSG00000005961    17   42444548   42471873     75      34   96099       1.7249     0.042268
_SET1_     ENSG00000180340    17   42629925   42641907     33      22  102216       1.4389     0.075094
_SET1_     ENSG00000108379    17   44834872   44915520    281      71  111071     -0.30362      0.61929
_SET1_     ENSG00000158955    17   44905567   44969096    276      65  110823       -1.813      0.96508
_SET1_     ENSG00000005884    17   48128332   48172845    211      44  112910       2.7983    0.0025687
_SET1_     ENSG00000168646    17   63519681   63562765    167      58  107789       2.6466    0.0040656
_SET1_     ENSG00000154229    17   64293754   64811861   2883     198  117610      0.55894       0.2881
_SET1_     ENSG00000177885    17   73309157   73406790    319      26  117165      0.49189       0.3114
_SET1_     ENSG00000089685    17   76205267   76226717    133      22  127024      -0.9018      0.81642
_SET1_     ENSG00000169750    17   79984500   79997080     56      13  105714      0.58994      0.27761
_SET1_     ENSG00000101680    18    6936743    7122813   1042     191  113385     -0.64832      0.74161
_SET1_     ENSG00000017797    18    9470007    9543114    355      42  120298     -0.43599      0.66858
_SET1_     ENSG00000053747    18   21264407   21540030    902      61  113403      0.65978       0.2547
_SET1_     ENSG00000078043    18   44383353   44505123    466      45  116388      0.18398      0.42701
_SET1_     ENSG00000175387    18   45352922   45462515    473      61  106005      -1.1618      0.87735
_SET1_     ENSG00000141646    18   48489410   48616415    359      57  103008     -0.21432      0.58485
_SET1_     ENSG00000187323    18   49861542   51062784   6849     189  120961       1.8182      0.03452
_SET1_     ENSG00000171791    18   60785579   60992361    925     197  112500       1.1343      0.12832
_SET1_     ENSG00000070388    19     634879     648703    132      45  106220       1.1337      0.12847
_SET1_     ENSG00000115266    19    1441300    1478243    180      56   97352       1.3615     0.086679
_SET1_     ENSG00000167657    19    3953451    3976121    113      43  103082       0.7305      0.23254
_SET1_     ENSG00000105229    19    4002644    4044384    254      43  107275      0.43829      0.33059
_SET1_     ENSG00000126934    19    4085319    4129126    238      79  100644      0.85374      0.19663
_SET1_     ENSG00000105647    19   18258928   18286350     96      33  111569       1.4063     0.079823
_SET1_     ENSG00000268173    19   18258968   18293927    131      40  112566       1.6704     0.047419
_SET1_     ENSG00000105173    19   30297805   30320215    105      37  112797      0.55895       0.2881
_SET1_     ENSG00000245848    19   33785840   33798470     55      14  118365       2.2526     0.012141
_SET1_     ENSG00000105221    19   40731224   40796443    260      42  105797       3.6964   0.00010933
_SET1_     ENSG00000269858    19   41299901   41319338    102      36  113954        1.201      0.11487
_SET1_     ENSG00000105329    19   41802492   41864816    208      53  112669     -0.51664       0.6973
_SET1_     ENSG00000142273    19   45276126   45308891    136      38  108697       1.9023     0.028565
_SET1_     ENSG00000105550    19   49253816   49266587     62      26  111882       3.7721   8.0936e-05
_SET1_     ENSG00000087088    19   49453072   49470055     75      22  117471     -0.25368      0.60013
_SET1_     ENSG00000090554    19   49972464   49994488    108      27  107419       1.4637     0.071634
_SET1_     ENSG00000142515    19   51353171   51369020    135      35  127587      0.84096      0.20018
_SET1_     ENSG00000126583    19   54377444   54415906    200      62   90406     -0.06146       0.5245
_SET1_     ENSG00000125845    20    6743311    6765927     87      34  112685       1.3954     0.081454
_SET1_     ENSG00000171552    20   30247255   30316792    167      30  114379        1.865     0.031089
_SET1_     ENSG00000101412    20   32258489   32279210     52      29  107509     -0.38099       0.6484
_SET1_     ENSG00000124181    20   39760600   39816629    146      56  116114        4.743   1.0531e-06
_SET1_     ENSG00000101109    20   43590115   43713600    516      46  110049      0.27653      0.39107
_SET1_     ENSG00000100985    20   44632547   44650200    106      28  120881     -0.90183      0.81643
_SET1_     ENSG00000130702    20   60878011   60947368    571      65  111341      0.95503      0.16978
_SET1_     ENSG00000159216    21   36155098   37381965   5965     375  116777        1.106      0.13436
_SET1_     ENSG00000015475    22   18211906   18262536    296      74  114789      0.77946      0.21786
_SET1_     ENSG00000099942    22   21266714   21313037    203      32  114015    -0.052231      0.52083
_SET1_     ENSG00000100030    22   22103789   22226970    505      55  110293      0.10959      0.45637
_SET1_     ENSG00000186716    22   23516891   23665224    848      83  108211      0.34332      0.36568
_SET1_     ENSG00000128340    22   37616301   37645488    200      38  117486      0.22743      0.41005
_SET1_     ENSG00000100311    22   39614364   39645756    153      32  112487     -0.44105      0.67041
_SET1_     ENSG00000100387    22   41342351   41374313     82      31   96746      0.71044      0.23872
_SET1_     ENSG00000100393    22   41482790   41581081    360      61   99472       1.1435      0.12641
_SET1_     ENSG00000188064    22   46311242   46378009    494     103   98222       1.3658     0.086009


# _SET2_ SET = Curated_gene_sets:sig_chemotaxis
# _SET2_ NGENES = 40
# _SET2_ P = 3.8515e-06
_SET2_     GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET2_     ENSG00000171608     1    9706790    9794172    370      76  103209      0.24319      0.40393
_SET2_     ENSG00000070831     1   22374120   22424437    217      48  114090       3.5267   0.00021035
